S,Feedback,Sentiment
369,I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1
724,"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",1
890,The speaker is of low quality so as making the ring tones sound very cheap.,0
323,I was able to do voice dialing in the car with no problem.,1
411,I highly recommend this device to everyone!,1
852,I have read other's reviews here but I haven't had any problem with it.,1
145,I got this phone on reccomendation from a relative and I'm glad I did.,1
133,!I definitly recommend!!,1
730,This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,1
116,i got this phone around the end of may and i'm completely unhappy with it.,0
256,"The cable looks so thin and flimsy, it is scary.",0
979,Not enough volume.,0
157,This item is fantastic and works perfectly!,1
897,Don't buy this product - It fails!.,0
911,So I bought about 10 of these and saved alot of money.,1
967,Beautiful styling though.,1
82,"Well packaged, arrived on time, and works as intended.",1
938,Logitech Bluetooth Headset is a 10!.,1
748,Does not fit.,0
280,"Good product, good seller.",1
596,Piece of trash.,0
657,"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.",1
472,Disappointment.. I hate anything that goes in my ear.,0
670,its extremely slow and takes forever to do anything with it.,0
642,"Obviously they have a terrible customer service, so you get what you pay for.",0
650,Battery is terrible.,0
849,I bought two of them and neither will charge.,0
484,I love this phone!.,1
8,"Needless to say, I wasted my money.",0
597,A pretty good product.,1
824,Awkward to use and unreliable.,0
643,"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",1
395,Better than you'd expect.,1
403,Very pleased with this headset.,1
272,Unreliable - I'm giving up.,0
302,Someone shouldve invented this sooner.,1
337,Very disappointing.,0
264,THAT one didn't work either.,0
251,O my gosh the best phone I have ever had.,1
965,I cannot make calls at certain places.,0
228,"I have had this phone for over a year now, and I will tell you, its not that great.",0
277,Very good phone.,1
604,Poor Construction.,0
920,much better than the hard plastic cases.,1
469,"Looks great and is strong.""",1
28,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0
410,I'll be looking for a new earpiece.,0
553,"The seller is very understanding and patient, I would definitely buy from them again.",1
990,I'm really disappointed all I have now is a charger that doesn't work.,0
830,Unfortunately it did not work.,0
869,"Just really good.. So far, probably the best BT headset I have ever had.",1
385,The worst piece of crap ever along with the Verizon customer service.,0
615,the charger worked for about a week and then completely stopped charging my phone.,0
547,Trying to make a call on these is an exercise in frustration.,0
847,Very unreliable service from T-mobile !,0
678,"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",1
255,poor quality and service.,0
661,I'm happy about this purchase- good quality and low price.,1
87,The construction of the headsets is poor.,0
886,"I didn't want the clip going over the top of my ear, causing discomfort.",0
989,The text messaging feature is really tricky to use.,0
481,"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",0
882,The only good thing was that it fits comfortably on small ears.,1
240,Big Disappointment with calendar sync.,0
123,Bad Quality.,0
320,I am also very happy with the price.,1
693,"The biggest complaint I have is, the battery drains superfast.",0
501,This battery is an excellent bargain!,1
627,This phone might well be the worst I've ever had in any brand.,0
489,This results in the phone being either stuck at max volume or mute.,0
777,WORTHWHILE.,1
414,After a year the battery went completely dead on my headset.,0
181,I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0
508,great...no problems at all!.,1
970,I plugged it in only to find out not a darn thing worked.,0
564,Yet Plantronincs continues to use the same flawed charger design.,0
972,Earbud piece breaks easily.,0
548,The case is a flimsy piece of plastic and has no front or side protection whatsoever.,0
261,Only had this a month but it's worked flawlessly so far.,1
833,"My father has the V265, and the battery is dying.",0
398,"Sounds good reasonably priced and effective, Its that simple !",1
556,Great product for the price!.,1
895,It was quite comfortable in the ear.,1
158,And I just love the colors!,1
201,All in all I think it was a good investment.,1
567,"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!",1
387,The best phone in market :).,1
47,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0
653,Utter crap.. Sound quality is TERRIBLE.,0
581,"Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.",0
806,"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).",0
526,"horrible, had to switch 3 times.",0
987,Phone falls out easily.,0
408,Plantronics Bluetooth Excelent Buy.,1
651,I found the product to be easy to set up and use.,1
664,Does everything it should and more.,1
573,I am very happy,1
855,Just does not work.,0
933,Does not charge the Cingular (ATT) 8525 phone.,0
412,Jawbone Era is awesome too!,1
76,Do Not Buy for D807...wrongly advertised for D807.,0
773,The reception has been generally good.,1
964,It's pretty easy.,1
378,"Clear Skype Calls, Long Battery Life, Long Range.",1
910,"Good show, Samsung.",1
973,Lousy product.,0
560,"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.",0
744,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0
286,I wouldn't recommend buying this product.,0
575,"I can barely ever hear on it and am constantly saying ""what?""",0
149,"After 3 months, screen just went black all of a sudden.",0
668,Much less than the jawbone I was going to replace it with.,1
772,"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.",0
35,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0
242,Worst Customer Service Ever.,0
171,Thank you for wasting my money.,0
531,They refuse to refund or replace.,0
705,I love this cable - it allows me to connect any mini-USB device to my PC.,1
808,2 thumbs up to this seller,1
246,Excellent wallet type phone case.,1
685,Easy to pair with my Samsung Cell.,1
101,"Buyer Beware, you could flush money right down the toilet.",0
427,"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0
345,"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1
344,Worst customer service.,0
396,"Using all earpieces, left or right, this thing will not stay on my ear.",0
580,"It works great with a car charger, especially if you cannot plug in two adapters at the same time.",1
761,They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,1
368,Love This Phone.,1
503,I would have given no star if I was able.,0
33,I have two more years left in this contract and I hate this phone.,0
244,It defeats the purpose of a bluetooth headset.,0
85,The headsets are easy to use and everyone loves them.,1
703,lightweight and works well.,1
766,"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.",0
969,I'm trying to return it for a refund.,0
470,"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",1
139,Voice recognition is tremendous!,1
331,The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1
783,It was horrible!.,0
287,Piece of Junk.,0
814,Battery has no life.,0
222,"Simple, lightweight and great fit.",1
786,They work about 2 weeks then break.,0
630,Don't bother - go to the store.,0
436,I wish I could return the unit and get back my money.,0
20,"I went on Motorola's website and followed all directions, but could not get it to pair again.",0
505,"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",0
124,Gets the job done.,1
622,This is a great product..... sure beats using your fingers!.,1
694,The design might be ergonomic in theory but I could not stand having these in my ear.,0
456,Timely shipment and quality product.,1
736,Krussel Always good.,1
793,I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,1
922,Happy so far!.,1
928,Makes it easier to keep up with my bluetooth when I'm not wearing it.,0
625,Very Dissapointing Performance.,0
271,Worked perfectly!,1
63,Buy a different phone - but not this.,0
907,How stupid is that?,0
341,Was not happy.,0
19,It clicks into place in a way that makes you wonder how long that mechanism would last.,0
485,A Disappointment.,0
109,I purcashed this for the car charger and it does not work.,0
775,Great bluetooth!.,1
742,It dit not work most of the time with my Nokia 5320.,0
957,Love it.. Great armband.,1
46,Who in their right mind is gonna buy this battery?.,0
542,"Perhaps my phone is defective, but people cannot hear me when I use this.",0
446,Does not fit.,0
776,I highly recommend this case.,1
610,It doesn't work in Europe or Asia.,0
161,Great charger.,1
848,Not good enough for the price.,0
600,Their Research and Development division obviously knows what they're doing.,1
236,best bluetooth on the market.,1
177,"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0
450,"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1
949,I had to purchase a different case.,0
496,Works as described.,1
947,"Otherwise, easy to install and use, clear sound.",1
421,Don't make the same mistake I did.,0
39,worthless product.,0
669,Setup went very smoothly.,1
701,You can't beat the price on these.,1
721,My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,1
716,"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",1
943,I'm returning them.,0
952,Very satisifed with that.,1
227,I'm a bit disappointed.,0
733,Arrived quickly and much less expensive than others being sold.,1
451,Portable and it works.,1
856,Poor Reliability.,0
111,This phone is slim and light and the display is beautiful.,1
86,This phone works great.,1
612,I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,1
443,Restored my phone to like new performance.,1
493,I had Verizon 2 years ago and really liked their service.,1
800,"Good , works fine.",1
872,I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,1
432,Low Quality.,0
156,"Nice quality build, unlike some cheap s*** out there.",1
391,The picture resolution is far below what other comparably-priced phones are offering today.,0
351,Works like a charm.. Works as advertised.,1
795,Perfect for the PS3.,1
336,Obviously there is a problem with the adhesive.,0
945,It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,1
78,"I love this phone , It is very handy and has a lot of features .",1
400,what a disappointment,0
904,Problem is that the ear loops are made of weak material and break easily.,0
441,"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",0
